year,month,date,song,band,views
2020,08,01,Soulmate,Cocktail,177493859
2020,08,01,Object,Klear,260014637
2020,08,01,Never,25hours,267889035
2020,09,01,Leave,Potato,236114934
2020,09,01,Soulmate,Cocktail,177882654
2020,09,01,Object,Klear,265748391
2020,09,01,Never,25hours,268756481
2020,10,01,Leave,Potato,237506854
2020,10,01,Soulmate,Cocktail,178284712
2020,10,01,Object,Klear,269564701
2020,10,01,Never,25hours,269126473
2020,11,01,Leave,Potato,241957485
2020,11,01,Soulmate,Cocktail,178673955
2020,11,01,Object,Klear,273867532
2020,11,01,Never,25hours,269985640
2020,12,01,Leave,Potato,245967432
2020,12,01,Soulmate,Cocktail,179037524
2020,12,01,Object,Klear,276905893
2020,12,01,Never,25hours,278856473
